text,id,pubdate
"This laptop served me extremely well for more than six years. It is depandable and fun. Storage was the only downside - as a photographer, I struggled with the 512 GB that was available at the time.",2602860537,18536
The track pad for this machine is too smooth for me and gives my aging hands problems. And using the arrow keys to scroll doesn't work the same as my Chromebooks. I don't see where the Retina screen is in any way superior to my Toshiba HD Chromebooks.,2602850443,18536
"Lightweight, blazing fast, easy to use, battery life is incredible with the new Apple M1 chip.  A typical Great Apple product.However, there is only a Thunderbolt port, so you now have to go out and buy a cable to convert USB to thunderbolt (if you want to use a backup hard drive) or other USB items, AND, I had to buy yet another cable to sync my phone's lightning port to the thunderbolt port on the computer. Total $56.I LOVE Apple product, and worked for them in my caerer, but I would wait on buying this version until the software for it has been developed.UPDATE: After several months of using this computer, I have have found several things of concern:1.  my notification center keeps disappearing, despite my constant reinstalling the widgets.2.  my computer's calendar, reminders, and photo stream do not sync with my IOS devices (iPhone & iPad).  If I add an item to calendar on my phone, it will appear on my mac but not vice versa.  Reminders will not sync regardless of which device I originate the item on.I have contacted Apple support on all these issues and they cannot solve the problem.IT APPEARS THAT THE BUGS HAVE NOT BEEN WORKED OUT, YET.  THINGS ARE MADDENINGLY CLUNKY!",2602761852,18535
all forms of establishing this computer to the correct running system et/al went smoothly except all the  passwords were defined in a not described format and the email program could not be connected as iCloud had my email buried within the demographics it contained. it took two hours with apple to be able to send emails as the computer did not allow my google email to connect . However it is a very beautiful computer...wow...what a ride and an amazing thing to experience the apple representative and how he went thru each and every system...very interesting.,2602738438,18535
"I've been using this computer for about 6 weeks now. Hopefully I don't jinx myself by posting this review, but so far I've not had any issues at all. The computer came in the original Apple packaging and was ready to use within minutes. There is a noticeable difference in the SSD performance which now comes standard instead of the older HDD. Load times are much faster and you don't get that clicking/whirring sound you'd get from an HDD. It's also incredibly light, so it's easy to take from room to room. Great battery life as well. I don't plan to run any heavy programs like Pro Tools or Final Cut on it, but for web browsing, spreadsheets, and streaming movies it has been excellent.",2602684185,18535
My son uses it for college,2602678435,18535
"So forget about all the other reviews. This is the skinny from a higher learning teacher: Is it fast? Yes. If you are browsing the web, watching videos, etc. It’s faster than my MSI with 16gb ram and RTX 2060 video card. Is it silent? YES. It’s the whole reason I bought it, so good for me. How is rendering audio or video? Good, BUT…My iMac 5k from 2017 with 4gb of video ram is faster with the few renderings I have done. The following is what surprised me (especially after reading all the fab reviews of battery): I put my Mac Air on sleep mode when I shut it down. Didn’t use it for a couple days, came back to get it and the battery was completely dead. Zero! I was VERY surprised.  I can always leave an MSI, Lenovo, HP, on sleep mode for a week or more. Those are the things I have experienced in my first week. Hope it helps.",2602600751,18535
"Super smooth performance, quiet fanless operation.Great deal!",2602585892,18535
I have had this computer for a while now and it has yet to let me down. I love it.I would recommend this as a college student.,2602548822,18535
"Amo todo lo que sea Apple y sinceramente no me decepcionó, súper slim, rápida, es como traer tu iphone en mano! Simplemente la amo!",2602529998,18535
